	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Il fotogramma del rilevamento dei segmenti di amazon rekognition video è accurato?							Sì, l'API per il rilevamento dei segmenti di Amazon Rekognition Video fornisce timecode SMPTE accurati dei fotogrammi, nonché timestamp in millisecondi per l'inizio e la fine di ogni rilevamento.							
Quali tipi di formati per la frequenza dei fotogrammi può gestire il rilevamento dei segmenti di amazon rekognition video?							Il rilevamento dei segmenti di Amazon Rekognition Video gestisce automaticamente standard di numeri interi, frazioni e drop frame per frequenze comprese tra 15 e 60 fps. Ad esempio, sono supportate frequenze di fotogrammi come 23,976 fps, 25 fps, 29,97 fps e 30 fps. Le informazioni sulla frequenza dei fotogrammi vengono utilizzate in ogni caso per fornire timecode accurati dei fotogrammi.							
Quale opzione di filtro è possibile applicare?							È possibile specificare l'affidabilità minima per ogni tipo di segmento mentre si effettua la richiesta API. Per esempio, è possibile escludere qualsiasi segmento con punteggio di affidabilità inferiore al 70%. Per il rilevamento dei fotogrammi neri, è anche possibile controllare la luminosità massima dei pixel considerati come pixel neri, come ad esempio un valore di 40 per una gamma cromatica da 0 a 255. Inoltre, è anche possibile controllare quale percentuale di pixel in un fotogramma deve soddisfare questo criterio di luminosità dei pixel neri per poter classificare il fotogramma come fotogramma nero, per esempio il 99%. Questi filtri consentono di rendere conto di qualità e formato video variati quando si rilevano fotogrammi neri. Per esempio, video recuperati da archiviazione a nastro possono essere rumorosi e avere un diverso livello di nero rispetto a un video digitale moderno. Per ulteriori dettagli, consulta questa pagina.							
In che modo amazon rekognition conteggia le immagini elaborate?							Per le API che accettano immagini come input, Amazon Rekognition fa coincidere il numero delle immagini analizzate con il numero delle immagini elaborate. DetectLabels, DetectModerationLabels, DetectFaces, IndexFaces, RecognizeCelebrities, SearchFaceByImage e Image Properties appartengono a questa categoria. Per l'API CompareFaces, in cui due immagini vengono inviate come input, solo l'immagine di origine viene conteggiata come unità di immagini elaborate. Per le chiamate API che non richiedono un'immagine come parametro di input, Amazon Rekognition conteggia ogni chiamata API come un'immagine elaborata. SearchFaces appartiene a questa categoria. Le restanti API di Amazon Rekognition - ListFaces, DeleteFaces, CreateCollection, DeleteCollection e ListCollections - non concorrono a calcolare il numero delle immagini elaborate.							
In che modo amazon rekognition conta i minuti dei video elaborati?							Per i video archiviati, Amazon Rekognition conta i minuti di video elaborati correttamente dall'API e li somma per la fatturazione. Per i flussi video in tempo reale ti verranno addebitati i blocchi di cinque secondi di video elaborati correttamente.							
Per quali api amazon rekognition applica tariffe?							Amazon Rekognition Image addebita i costi relativi all'uso delle seguenti API: DetectLabels, DetectModerationLabels, DetectText, DetectFaces, IndexFaces, RecognizeCelebrities, SearchFaceByImage, CompareFaces, SearchFaces e Image Properties. Amazon Rekognition Video addebita i costi in base alle durate (in minuti) dei video elaborati correttamente dalle API StartLabelDetection, StartFaceDetection, StartFaceDetection, StartTextDetection, StartContentModeration, StartPersonTracking, StartCelebrityRecognition, StartFaceSearch e StartStreamProcessor.							
Quanto costa amazon rekognition?							Per informazioni sui prezzi correnti, consulta la pagina dei prezzi di Amazon Rekognition.							
Mi verranno addebitati i vettori caratteristici archiviati nelle mie raccolte di volti?							Sì. Amazon Rekognition addebita 0,01 USD per 1.000 vettori caratteristici dei volti al mese. Per ulteriori dettagli, consulta la pagina dei prezzi.							
Amazon rekognition partecipa al piano gratuito di aws?							Sì. Poiché hai accesso al piano di utilizzo gratuito di AWS, puoi iniziare a utilizzare Amazon Rekognition gratuitamente. Dopo l'iscrizione, i nuovi clienti Amazon Rekognition possono analizzare fino a 5.000 immagini gratuitamente ogni mese per i primi 12 mesi. Eccetto Image Properties, puoi utilizzare tutte le API di Amazon Rekognition con questo piano gratuito e perfino archiviare fino a 1.000 volti senza ulteriori addebiti. Inoltre, i clienti di Amazon Rekognition Video possono analizzare gratuitamente 1.000 minuti di video al mese per il primo anno.							
I prezzi includono le tasse?							Per informazioni dettagliate sulle imposte, consulta la guida alle imposte di Amazon Web Services.	Per informazioni dettagliate sulle tasse, consulta il documento Assistenza di Amazon Web Services sulle imposte.						
Amazon rekognition video funziona con le immagini archiviate in amazon s3?							Sì. Puoi iniziare ad analizzare immagini archiviate in Amazon S3 semplicemente indirizzando l'API di Amazon Rekognition al tuo bucket di S3. Non è necessario che sposti i dati. Per ulteriori dettagli su come utilizzare oggetti di S3 con le chiamate API di Amazon Rekognition, vedi il nostro esercizio sul rilevamento delle etichette.							
È possibile utilizzare amazon rekognition con immagini memorizzate in un bucket di amazon s3 in un'altra regione?							No. Verifica che il bucket di Amazon S3 che desideri utilizzare si trovi nella stessa regione degli endpoint per l'API di Amazon Rekognition.							
Come posso elaborare più file di immagini in un batch utilizzando amazon rekognition?							Puoi elaborare le immagini di Amazon S3 in blocco seguendo le fasi descritte nel nostro esempio di elaborazione di batch in Amazon Rekognition su GitHub.							
Come posso utilizzare aws lambda con amazon rekognition?							Amazon Rekognition consente di accedere facilmente ad AWS Lambda e ti permette di portare analisi di immagini basate sui trigger nei data store di AWS come Amazon S3 e Amazon DynamoDB. Per utilizzare Amazon Rekognition con AWS Lambda, segui la procedura riportata qui e seleziona il progetto di Amazon Rekognition.							
È possibile utilizzare amazon rekognition con aws cloudtrail?							Sì. Amazon Rekognition supporta la registrazione, sotto forma di file di log di evento in CloudTrail, delle seguenti operazioni: CreateCollection, DeleteCollection, CreateStreamProcessor, DeleteStreamProcessor, DescribeStreamProcessor, ListStreamProcessors e ListCollections. Per ulteriori informazioni sulle chiamate API di Amazon Rekognition che si integrano con AWS CloudTrail, consulta il documento Logging Amazon Rekognition API Calls with AWS CloudTrail.							
Le immagini e i video da me inviati ed elaborati da amazon rekognition vengono archiviati?							E come vengono utilizzati da AWS? Amazon Rekognition può archiviare e utilizzare le immagini e i video elaborati dal servizio esclusivamente per fornire e mantenere il servizio e, a meno che tu scelga di non farlo come specificato di seguito, anche per migliorare e sviluppare la qualità di Amazon Rekognition e di altre tecnologie di apprendimento automatico e intelligenza artificiale di Amazon. L'utilizzo dei tuoi contenuti è importante per migliorare continuamente la tua esperienza come cliente di Amazon Rekognition, anche grazie allo sviluppo e al perfezionamento delle tecnologie correlate. Non usiamo alcun dato di identificazione personale eventualmente presente nei tuoi contenuti per proporre prodotti, servizi o attività marketing a te o ai tuoi utenti finali. La tua fiducia, la tua privacy e la sicurezza dei tuoi contenuti rappresentano la nostra massima priorità. Implementiamo controlli adeguati e sofisticati, a livello tecnico e fisico, tra cui la crittografia sia in condizioni statiche che durante i trasferimenti, per impedire gli accessi non autorizzati e la divulgazione dei contenuti e per garantire che l'utilizzo da parte nostra sia conforme ai nostri impegni nei tuoi confronti. Per ulteriori informazioni consulta la pagina https://aws.amazon.com/compliance/data-privacy-faq/. Puoi scegliere di non utilizzare i contenuti immagini e video per migliorare o sviluppare la qualità di Amazon Rekognition e di altre tecnologie di Machine Learning e Intelligenza Artificiale di Amazon, utilizzando una policy di esclusione di AWS Organizations. Per ulteriori informazioni su come rifiutare, consulta Gestione della policy di esclusione dei servizi di AI.							
Posso eliminare gli input di immagini e video che sono stati archiviati da amazon rekognition?							Sì. Puoi richiedere l'eliminazione dei contenuti audio e video associati al tuo account contattando AWS Support. L'eliminazione delle immagini e dei video che hai inviato potrebbe compromettere la tua esperienza con Amazon Rekognition.							
Chi ha accesso ai miei contenuti elaborati e archiviati da amazon rekognition?							Solo i dipendenti autorizzati avranno accesso ai tuoi contenuti elaborati da Amazon Rekognition. La tua fiducia, la tua privacy e la sicurezza dei tuoi contenuti rappresentano la nostra massima priorità. Implementiamo controlli adeguati e sofisticati, a livello tecnico e fisico, tra cui la crittografia sia in condizioni statiche che durante i trasferimenti, per impedire gli accessi non autorizzati e la divulgazione dei contenuti e per garantire che l'utilizzo da parte nostra sia conforme ai nostri impegni nei tuoi confronti. Per ulteriori informazioni consulta la pagina https://aws.amazon.com/compliance/data-privacy-faq/.							
